,tweet,label
0,تو این اوضاع احوال سخت و میزان مشکلات، اگه کسی رو دارید که حالتون کنارش خوبه و همدیگه رو درک می‌کنید خیلی قدرش رو بدونید. چون با وجود تمام مشکلاتی که دارید سه هیچ از خیلیا جلوترید.,0
1,انتظار بروز موج هفتم کرونا در اردیبهشت را نداریم دبیر کمیته اپیدمیولوژی کمیته علمی کرونا: 🔹با توجه به بازگشایی مدارس، تنها ممکن است افزایش نسبی و مختصری داشته باشیم. برای مشاهده اثر بازگشایی مدارس و دانشگاه ها باید ۲ هفته صبر کنیم. 🔹 شاهد نوساناتی در افزایش موارد بستری هستیم و موارد سرپایی کرونا افزایش داشته اند؛ اما بعید است که موج هفتم در اردیبهشت اتفاق بیفتد.,0
2,‏هوا انقدر گرمه که جامد میری بیرون مایع برمیگردی خونه,1
3,🔺تقاضا «آلن دلون» برای مرگ خودخواسته تکذیب شد 🔹«آلن-فابین» فرزند «آلن دلون» در واکنش به اخبار منتشر شده درباره تمایل پدرش به مرگ خودخواسته با انتشار مطلبی در صفحه اینستاگرام خود این شایعات را رد کرد. 🔹«آلن-فابین» ضمن تکذیب این خبر با افزودن تصاویری از سایت‌هایی که اخبار جعلی در این باره مخابره می‌کنند، روش کار این روزنامه نگاران را محکوم کرده و از آن‌ها خواسته پدرش را تنها بگذارند. 🔹او همچنین هشدار داده که در غیر این صورت گام بعدی دادگاه خواهد بود.,0
4,چه داستانیه وقتی کاپشنتو میندازی رو شونه یکی دیگه اصن سردت نمیشه ولی وقتی میزاریش یه گوشه سریع سردت میشه,0
5,تیراندازی در گوهردشت کرج/ اختلاف دو نمایشگاه دار به درگیری و شلیک ۱۸ تیر منجر شد 🔸رییس کلانتری ۱۵ رجایی شهر: ساعت ۱ و ۳۰ دقیقه بامداد دو مرد سمند سوار از خودرو پیاده و به در نمایشگاه خودرویی شلیک کردند و پا به فرار گذاشتند. 🔸پلیس امنیت با بررسی موضوع ضمن شناسایی عاملان حادثه، در حال رصد اطلاعاتی برای دستگیری آنهاست. 🔸۲ هفته قبل نیز در خیابان شهرداری گوهردشت به نمایشگاه خودرو دیگری تیراندازی شده بود.,0
6,توی شرکتهای ایرانی حتما درجمع های سیگاری حضور داشته باشید حتی اگر سیگار نمیکشید. تجربه نشون میده تصمیم‌های عجیبی در حین سیگار کشیدن گرفته میشه :)))))))),1
7,‏روزی جوانی نزد حکیمی آمد و از او خواست که پندی دهدش. حکیم به او گفت: سیر، تخم مرغ، پیاز و این‌چیزها را کم‌تر بخور، جوان پرسید چرا؟ حکیم نوک بینی خود را گرفت و گفت بوی‌ چست مرا کشت.,1
8,چند ساله باهاش تو رابطه ای بعد ازت خواستگاری میکنه با جیغ و گریه میگی باورم نمیشه؟ پس توقع داشتی مارو بگیره ؟,1
9,‏بایر لورکوزن سرانجام لیورپول، آرسنال، لاتزیو، یوونتوس، لیون، رم و چندین تیم دیگه رو در راه جذب سردار آزمون شکست داد😂,1
